identifier,name,url
Pathway_0950873533ab8ae151618239a8e01a70,EGFR1,http://pathwaycommons.org/pc12/Pathway_0950873533ab8ae151618239a8e01a70
Pathway_096347aa08a4546785aabcf783e0bc90,BCR signaling pathway,http://pathwaycommons.org/pc12/Pathway_096347aa08a4546785aabcf783e0bc90
Pathway_09c9a757d6fa96e2d33bc72c41b52d7b,CD28 signaling ( CD4 T cell receptor signaling ),http://pathwaycommons.org/pc12/Pathway_09c9a757d6fa96e2d33bc72c41b52d7b
Pathway_0aba1e2d020d5ef6592e63ad4ad63830,"5-Formimino-tetrahydro-folic acid = 5,10-Methenyl-tetrahydro-folic acid + NH3 ( Folate metabolism )",http://pathwaycommons.org/pc12/Pathway_0aba1e2d020d5ef6592e63ad4ad63830
Pathway_0b01c3129d1a60a5bd8dba4af8f9d253,L-Arginine + Glycine = L-Ornithine + Guanidino-acetic acid ( Glycine and Serine metabolism ),http://pathwaycommons.org/pc12/Pathway_0b01c3129d1a60a5bd8dba4af8f9d253
Pathway_0b0eb5d075fd16d7fb20d3fbfb8801d3,L-glutamine biosynthesis II (tRNA-dependent),http://pathwaycommons.org/pc12/Pathway_0b0eb5d075fd16d7fb20d3fbfb8801d3
Pathway_0b1e056c94a422208bf0e4974f5762c0,pentose phosphate pathway (non-oxidative branch),http://pathwaycommons.org/pc12/Pathway_0b1e056c94a422208bf0e4974f5762c0
Pathway_0b3b3852c90cbcd996f58312f18d1d9c,Signaling events mediated by HDAC Class II,http://pathwaycommons.org/pc12/Pathway_0b3b3852c90cbcd996f58312f18d1d9c
Pathway_0b5b1a73a7ae468bb62ab37cae345e92,"PKA activation signaling ( GPCR signaling (G alpha s, PKA and ERK) )",http://pathwaycommons.org/pc12/Pathway_0b5b1a73a7ae468bb62ab37cae345e92
Pathway_0bb8081a32809a1fa9301b682fbbf358,Negative regulation of (Phosphorylation of cytokine receptor) in JAK STAT pathway ( JAK-STAT pathway and regulation pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_0bb8081a32809a1fa9301b682fbbf358
Pathway_0bee41b866db406f15ba51d0ce995196,Angiopoietin receptor Tie2-mediated signaling,http://pathwaycommons.org/pc12/Pathway_0bee41b866db406f15ba51d0ce995196
Pathway_0c3e03cfca9f6f8263d7430d3d579e07,5'-Phospho-ribosyl-4-(N-succino-carboxamide)-5-amino-imidazole = 5'-Phospho-ribosyl-4-carboxamido-5-amino-imidazole + Fumaric acid ( Purine nucleotides and Nucleosides metabolism ),http://pathwaycommons.org/pc12/Pathway_0c3e03cfca9f6f8263d7430d3d579e07
Pathway_0c4afa86964fa61010ae302178ed0c88,Caspase9 activation signaling ( TNFR1 signaling pathway ),http://pathwaycommons.org/pc12/Pathway_0c4afa86964fa61010ae302178ed0c88
Pathway_0c83313c82be49af4d75d92c687417c6,EPO signaling pathway(JAK2 STAT1 STAT3 STAT5) ( EPO signaling pathway(JAK2 STAT1 STAT3 STAT5) ),http://pathwaycommons.org/pc12/Pathway_0c83313c82be49af4d75d92c687417c6
Pathway_0cf8cca4f6414a9d373c3a739bbabfa2,ERK cascade ( EGF signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_0cf8cca4f6414a9d373c3a739bbabfa2
Pathway_0d4059a90168f4194186285431fd649e,phosphatidylethanolamine biosynthesis III,http://pathwaycommons.org/pc12/Pathway_0d4059a90168f4194186285431fd649e
Pathway_0d4c9be6016cc8e5809d51a334e86e98,Negative regulation of (nuclear import of R-smad:smad4) in TGF beta super family signaling pathway ( TGF-beta_super_family_signaling_pathway(canonical) ),http://pathwaycommons.org/pc12/Pathway_0d4c9be6016cc8e5809d51a334e86e98
Pathway_0e1ee2cafc3f7cb097cfdeaf7949db51,IL8- and CXCR1-mediated signaling events,http://pathwaycommons.org/pc12/Pathway_0e1ee2cafc3f7cb097cfdeaf7949db51
Pathway_0e3570cb48d9c7ec872114dbaa9a7343,AKT(PKB) activation signaling ( Insulin receptor signaling (Mammal) ),http://pathwaycommons.org/pc12/Pathway_0e3570cb48d9c7ec872114dbaa9a7343
Pathway_0e5ca64ffe1e590e3fd07e45a63f3f66,"D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis",http://pathwaycommons.org/pc12/Pathway_0e5ca64ffe1e590e3fd07e45a63f3f66
Pathway_0e9d99c9020d5136322cbc20d446a3f7,Citric acid = cis-Aconitic acid + H2O ( Citrate cycle ),http://pathwaycommons.org/pc12/Pathway_0e9d99c9020d5136322cbc20d446a3f7
Pathway_0f08dabc34d6d0d7a5bf4304a7a7394c,Signaling without Wnt (Drosophila) ( Drosophila Wingless/Wnt signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_0f08dabc34d6d0d7a5bf4304a7a7394c
Pathway_0f255b276595fcff2ecba0344671d1d0,T cell receptor signaling pathway ( CD4 T cell receptor signaling ),http://pathwaycommons.org/pc12/Pathway_0f255b276595fcff2ecba0344671d1d0
Pathway_0f289dc58a121be3b055813c1bafb0b1,Citrate cycle ( Citrate cycle ),http://pathwaycommons.org/pc12/Pathway_0f289dc58a121be3b055813c1bafb0b1
Pathway_0f2dd0608774305d9a26f15ba3a6e0db,3-Hydroxy-propanoyl-CoA = Propenoyl-CoA + H2O ( Propanoate metabolism ),http://pathwaycommons.org/pc12/Pathway_0f2dd0608774305d9a26f15ba3a6e0db
Pathway_0f40c2798afbb61326066db669bd66df,myo-inositol biosynthesis,http://pathwaycommons.org/pc12/Pathway_0f40c2798afbb61326066db669bd66df
Pathway_103faa79bfdc40f2d09125a5cf498d96,2-Oxo-glutaric acid + L-O-Phospho-serine = L-Glutamic acid + 3-Phospho-hydroxy-pyruvic acid ( Glycine and Serine metabolism ),http://pathwaycommons.org/pc12/Pathway_103faa79bfdc40f2d09125a5cf498d96
Pathway_105f58732a4ac44137ffdf526e188f21,S-adenosyl-L-methionine biosynthesis,http://pathwaycommons.org/pc12/Pathway_105f58732a4ac44137ffdf526e188f21
Pathway_10736b95fa8711473a08d0eaa8f786f0,Canonical Wnt signaling pathway ( Mammalian Wnt signaling pathway Diagram ),http://pathwaycommons.org/pc12/Pathway_10736b95fa8711473a08d0eaa8f786f0
Pathway_10dc1e93aeb0c6d6270c371bfb5ee1ed,trehalose degradation II (trehalase),http://pathwaycommons.org/pc12/Pathway_10dc1e93aeb0c6d6270c371bfb5ee1ed
Pathway_10f4085e8106447b3a3920188128a902,Signaling events mediated by the Hedgehog family,http://pathwaycommons.org/pc12/Pathway_10f4085e8106447b3a3920188128a902
Pathway_110a0c347a2a5ace08cbdbe8f0e3e585,HGF signaling pathway ( HGF signaling pathway ),http://pathwaycommons.org/pc12/Pathway_110a0c347a2a5ace08cbdbe8f0e3e585
Pathway_11c9b38aa988994ea3683af250df87db,Regulation of nuclear SMAD2/3 signaling,http://pathwaycommons.org/pc12/Pathway_11c9b38aa988994ea3683af250df87db
Pathway_128737b39959dcc1f51c72e30c20ed96,Aurora A signaling,http://pathwaycommons.org/pc12/Pathway_128737b39959dcc1f51c72e30c20ed96
Pathway_129b3091807f4631692290b907406bee,Nectin adhesion pathway,http://pathwaycommons.org/pc12/Pathway_129b3091807f4631692290b907406bee
Pathway_12cd55f72ef825a39e86983e5ebe4be9,pyrimidine ribonucleotides de novo biosynthesis,http://pathwaycommons.org/pc12/Pathway_12cd55f72ef825a39e86983e5ebe4be9
Pathway_1352d35695c5a5b0a5c02abae6e44950,thiamin salvage III,http://pathwaycommons.org/pc12/Pathway_1352d35695c5a5b0a5c02abae6e44950
Pathway_13a9b230f93dad3bbf484a63bbdc53ab,"Heterotrimeric GTP-binding protein coupled receptor signaling pathway (through G alpha i, adenylate cyclase and cAMP) ( GPCR signaling (G alpha i) )",http://pathwaycommons.org/pc12/Pathway_13a9b230f93dad3bbf484a63bbdc53ab
Pathway_13cc7c73ce16c94a71be8b5e53e34595,NAD+ + Isocitric acid = NADH + 2-Oxo-glutaric acid + CO2 ( Citrate cycle ),http://pathwaycommons.org/pc12/Pathway_13cc7c73ce16c94a71be8b5e53e34595
Pathway_140db615921bfd883faad5acccf6474c,glycolysis I,http://pathwaycommons.org/pc12/Pathway_140db615921bfd883faad5acccf6474c
Pathway_1450a927bc0724d2b6626108a5f72816,ERK cascade ( Insulin receptor signaling (Mammal) ),http://pathwaycommons.org/pc12/Pathway_1450a927bc0724d2b6626108a5f72816
Pathway_14b02a8a2ca16a76778478ac50e3aeab,Folate metabolism ( Folate metabolism ),http://pathwaycommons.org/pc12/Pathway_14b02a8a2ca16a76778478ac50e3aeab
Pathway_14b2dd75d3c35c141a1135505f13a398,Raf activation signaling (through Grb2 and Sos) ( CD4 T cell receptor signaling (ERK cascade) ),http://pathwaycommons.org/pc12/Pathway_14b2dd75d3c35c141a1135505f13a398
Pathway_154c6d3bad5ff11f0cb53d6d09a75881,Choloyl-CoA + Taurine = CoA + Taurocholic acid ( Methionine and Cysteine metabolism ),http://pathwaycommons.org/pc12/Pathway_154c6d3bad5ff11f0cb53d6d09a75881
