identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
P00011	Blood coagulation	http://identifiers.org/panther.pathway/P00011	38	38	panther		10544|2147|2149|2152|2155|2157|2158|2159|2161|2165|2243|2244|2266|2811|2812|2814|2815|351|3674|3818|3827|462|5054|5055|51156|5265|5327|5328|5329|5340|5345|5624|5627|7035|7056|7450|8858|9002	10544|2147|2149|2152|2155|2157|2158|2159|2161|2165|2243|2244|2266|2811|2812|2814|2815|351|3674|3818|3827|462|5054|5055|51156|5265|5327|5328|5329|5340|5345|5624|5627|7035|7056|7450|8858|9002
P00012	Cadherin signaling pathway	http://identifiers.org/panther.pathway/P00012	150	150	panther		1000|1001|1002|1003|1004|1005|1006|1007|1008|1009|10097|1010|1012|1013|1014|1015|1016|11167|11211|120114|1459|1460|1499|1500|1501|1951|1952|1956|2064|2065|2066|2195|2196|2241|2444|2534|2535|26025|26167|27328|283106|28316|28513|2932|29930|345651|4067|5097|5098|5099|5100|5101|51176|51294|51384|54361|54510|54825|56097|56098|56099|56100|56103|56104|56105|56106|56108|56109|56110|56112|56113|56114|56121|56122|56123|56124|56125|56126|56128|56129|56130|56131|56132|56133|56134|56135|56136|56137|56138|56139|56140|56141|56142|56143|56144|56145|56146|56147|57526|57575|5770|57717|58|59|60|64072|64403|64405|64881|65217|6714|6934|70|71|72|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7525|7855|7976|80326|81029|8321|8322|8323|8324|8325|83259|8326|83439|8641|8642|89780|92211|9620|9708|9752|999	1000|1001|1002|1003|1004|1005|1006|1007|1008|1009|10097|1010|1012|1013|1014|1015|1016|11167|11211|120114|1459|1460|1499|1500|1501|1951|1952|1956|2064|2065|2066|2195|2196|2241|2444|2534|2535|26025|26167|27328|283106|28316|28513|2932|29930|345651|4067|5097|5098|5099|5100|5101|51176|51294|51384|54361|54510|54825|56097|56098|56099|56100|56103|56104|56105|56106|56108|56109|56110|56112|56113|56114|56121|56122|56123|56124|56125|56126|56128|56129|56130|56131|56132|56133|56134|56135|56136|56137|56138|56139|56140|56141|56142|56143|56144|56145|56146|56147|57526|57575|5770|57717|58|59|60|64072|64403|64405|64881|65217|6714|6934|70|71|72|7471|7472|7473|7474|7475|7476|7477|7478|7479|7480|7481|7482|7483|7484|7525|7855|7976|80326|81029|8321|8322|8323|8324|8325|83259|8326|83439|8641|8642|89780|92211|9620|9708|9752|999
P00013	Cell cycle	http://identifiers.org/panther.pathway/P00013	14	14	panther		10197|10213|51550|5709|5710|5713|5717|5718|5719|6119|894|896|898|9134	10197|10213|51550|5709|5710|5713|5717|5718|5719|6119|894|896|898|9134
P00014	Cholesterol biosynthesis	http://identifiers.org/panther.pathway/P00014	12	12	panther		10654|2222|2224|23590|3156|3157|4047|4597|4598|6713|91734|9453	10654|2222|2224|23590|3156|3157|4047|4597|4598|6713|91734|9453
P00015	Circadian clock system	http://identifiers.org/panther.pathway/P00015	9	9	panther		1407|1408|1453|1454|406|5187|8863|8864|9575	1407|1408|1453|1454|406|5187|8863|8864|9575
P00016	Cytoskeletal regulation by Rho GTPase	http://identifiers.org/panther.pathway/P00016	69	69	panther		10092|10093|10094|10095|10109|10298|10381|10382|10383|10552|1072|1073|140469|1729|1730|203068|23779|345456|345651|347688|347733|389|392|3925|3984|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4638|5058|5062|5063|5216|5217|53904|54434|55740|56924|57644|58|58480|5879|5880|59|60|6093|70|71|72|7280|7408|79784|81027|81551|84617|85366|8735|8976|9138|91807|9475|998	10092|10093|10094|10095|10109|10298|10381|10382|10383|10552|1072|1073|140469|1729|1730|203068|23779|345456|345651|347688|347733|389|392|3925|3984|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4638|5058|5062|5063|5216|5217|53904|54434|55740|56924|57644|58|58480|5879|5880|59|60|6093|70|71|72|7280|7408|79784|81027|81551|84617|85366|8735|8976|9138|91807|9475|998
P00017	DNA replication	http://identifiers.org/panther.pathway/P00017	18	18	panther		1763|246243|440093|5111|5422|5424|5425|5557|5981|5982|5983|5984|5985|6118|7150|7153|7155|8290	1763|246243|440093|5111|5422|5424|5425|5557|5981|5982|5983|5984|5985|6118|7150|7153|7155|8290
P00018	EGF receptor signaling pathway	http://identifiers.org/panther.pathway/P00018	115	115	panther		10000|100271927|10156|10251|10252|10253|10718|10746|10750|10971|139716|1432|145957|153090|157310|1839|1950|1956|2064|2065|2066|2069|207|208|22800|22808|23533|23624|23683|2549|25759|25865|2810|3084|3265|369|374|4215|4216|4217|4763|4893|5037|5286|5287|5289|5290|5291|5293|5294|5335|53358|5336|5515|5516|5525|5526|5527|5528|5529|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5599|5600|5601|5602|5603|5604|5605|5606|5608|5609|5879|5880|5894|5921|5922|6237|6300|6416|6464|6654|6655|673|6772|6773|6774|6775|6776|6777|6778|685|7039|7529|7531|7532|7533|7534|81848|867|868|90102|9462|9542|9846	10000|100271927|10156|10251|10252|10253|10718|10746|10750|10971|139716|1432|145957|153090|157310|1839|1950|1956|2064|2065|2066|2069|207|208|22800|22808|23533|23624|23683|2549|25759|25865|2810|3084|3265|369|374|4215|4216|4217|4763|4893|5037|5286|5287|5289|5290|5291|5293|5294|5335|53358|5336|5515|5516|5525|5526|5527|5528|5529|5578|5579|5580|5581|5582|5583|5584|5587|5588|5590|5594|5595|5599|5600|5601|5602|5603|5604|5605|5606|5608|5609|5879|5880|5894|5921|5922|6237|6300|6416|6464|6654|6655|673|6772|6773|6774|6775|6776|6777|6778|685|7039|7529|7531|7532|7533|7534|81848|867|868|90102|9462|9542|9846
P00019	untitled	http://identifiers.org/panther.pathway/P00019	67	67	panther		10000|107|108|109|111|112|113|114|115|1889|1906|1907|1908|1909|1910|196883|207|208|23236|23478|2767|2774|2776|2778|2977|2982|2983|369|3708|3709|3710|4846|5045|5122|5321|5330|5331|5332|5566|5567|5568|5573|5575|5576|5577|5578|5579|5580|5581|55811|5582|5583|5584|5588|5590|5592|5593|5594|5595|5604|5605|5743|5894|90701|9427|9630|9718	10000|107|108|109|111|112|113|114|115|1889|1906|1907|1908|1909|1910|196883|207|208|23236|23478|2767|2774|2776|2778|2977|2982|2983|369|3708|3709|3710|4846|5045|5122|5321|5330|5331|5332|5566|5567|5568|5573|5575|5576|5577|5578|5579|5580|5581|55811|5582|5583|5584|5588|5590|5592|5593|5594|5595|5604|5605|5743|5894|90701|9427|9630|9718
P00020	FAS signaling pathway	http://identifiers.org/panther.pathway/P00020	37	37	panther		10038|10039|11124|142|143|1537|1616|1677|1956|2064|2065|2066|2735|2737|2934|317|355|356|3725|4000|4001|4217|5599|5601|5602|6416|822|836|839|840|841|842|843|84823|85477|8772|8837	10038|10039|11124|142|143|1537|1616|1677|1956|2064|2065|2066|2735|2737|2934|317|355|356|3725|4000|4001|4217|5599|5601|5602|6416|822|836|839|840|841|842|843|84823|85477|8772|8837
P00021	FGF signaling pathway	http://identifiers.org/panther.pathway/P00021	104	104	panther		10000|100271927|10156|10251|10252|10253|10746|10750|10817|10818|10971|1432|207|208|2246|2248|2249|2250|2251|2252|2253|2254|2255|2256|2257|2258|2259|2260|2261|2263|2264|26281|27006|2810|3265|369|4215|4216|4217|4893|5037|5286|5287|5289|5290|5291|5293|5294|5335|53358|5336|5515|5516|5518|5519|5520|5521|5522|5525|5526|5527|5528|5529|5578|5579|5580|5581|5582|5583|5584|55844|5588|5590|5594|5595|5599|5600|5601|5602|5603|5604|5605|5606|5608|5609|5777|5879|5880|5894|5921|5922|6300|6416|6464|6654|6655|7529|7531|7532|7534|81848|8817|8822|9064	10000|100271927|10156|10251|10252|10253|10746|10750|10817|10818|10971|1432|207|208|2246|2248|2249|2250|2251|2252|2253|2254|2255|2256|2257|2258|2259|2260|2261|2263|2264|26281|27006|2810|3265|369|4215|4216|4217|4893|5037|5286|5287|5289|5290|5291|5293|5294|5335|53358|5336|5515|5516|5518|5519|5520|5521|5522|5525|5526|5527|5528|5529|5578|5579|5580|5581|5582|5583|5584|55844|5588|5590|5594|5595|5599|5600|5601|5602|5603|5604|5605|5606|5608|5609|5777|5879|5880|5894|5921|5922|6300|6416|6464|6654|6655|7529|7531|7532|7534|81848|8817|8822|9064
P00022	General transcription by RNA polymerase I	http://identifiers.org/panther.pathway/P00022	15	15	panther		129685|284119|29893|387332|51082|5440|54700|6908|7270|7343|84172|9013|9014|9015|9519	129685|284119|29893|387332|51082|5440|54700|6908|7270|7343|84172|9013|9014|9015|9519
P00023	General transcription regulation	http://identifiers.org/panther.pathway/P00023	30	30	panther		11036|129685|29105|2957|2958|2959|2960|2961|2962|2963|2965|2967|2968|2972|51616|5432|5435|5437|55290|6873|6874|6878|6879|6880|6882|6883|7270|80298|9013|9519	11036|129685|29105|2957|2958|2959|2960|2961|2962|2963|2965|2967|2968|2972|51616|5432|5435|5437|55290|6873|6874|6878|6879|6880|6882|6883|7270|80298|9013|9519
P00024	Glycolysis	http://identifiers.org/panther.pathway/P00024	17	17	panther		2023|2026|226|2597|2821|3098|3099|441531|5211|5213|5224|5230|5313|5315|669|7167|80201	2023|2026|226|2597|2821|3098|3099|441531|5211|5213|5224|5230|5313|5315|669|7167|80201
P00025	Hedgehog signaling pathway	http://identifiers.org/panther.pathway/P00025	19	19	panther		122011|1387|1452|1454|23291|27148|2735|2737|2932|51366|51684|5573|5575|5576|5577|5727|6469|6608|8945	122011|1387|1452|1454|23291|27148|2735|2737|2932|51366|51684|5573|5575|5576|5577|5727|6469|6608|8945
P00026	Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	http://identifiers.org/panther.pathway/P00026	150	150	panther		10287|10488|10636|107|108|109|111|112|11255|1128|1129|113|1131|1132|1133|114|115|1211|1212|1213|131890|134|135|136|1385|1387|1390|140|146|147|148|148327|151|152|153|154|155|156|157|1812|1813|1815|1816|196883|2033|26086|26575|2770|2771|2773|2774|2782|2783|2785|2786|2787|2788|2790|2792|2793|2798|2868|2869|2870|2911|2912|2913|2914|2915|2916|2917|2918|2931|2932|29899|2997|2998|3269|3274|3350|3351|3352|3354|3355|3356|3357|3358|3360|3361|3362|3363|3760|3762|3763|3765|4543|4544|4985|4986|4987|4988|5255|5256|5257|5260|5261|54331|5566|5567|5568|5573|5575|5576|5577|55970|5834|5836|5837|5906|5908|59340|5996|5997|5998|5999|6000|6001|6002|6003|6004|6011|64407|64764|6751|6752|6753|6754|6755|801|8218|84699|8490|85397|8786|8787|90993|9248|94235|9586|9628	10287|10488|10636|107|108|109|111|112|11255|1128|1129|113|1131|1132|1133|114|115|1211|1212|1213|131890|134|135|136|1385|1387|1390|140|146|147|148|148327|151|152|153|154|155|156|157|1812|1813|1815|1816|196883|2033|26086|26575|2770|2771|2773|2774|2782|2783|2785|2786|2787|2788|2790|2792|2793|2798|2868|2869|2870|2911|2912|2913|2914|2915|2916|2917|2918|2931|2932|29899|2997|2998|3269|3274|3350|3351|3352|3354|3355|3356|3357|3358|3360|3361|3362|3363|3760|3762|3763|3765|4543|4544|4985|4986|4987|4988|5255|5256|5257|5260|5261|54331|5566|5567|5568|5573|5575|5576|5577|55970|5834|5836|5837|5906|5908|59340|5996|5997|5998|5999|6000|6001|6002|6003|6004|6011|64407|64764|6751|6752|6753|6754|6755|801|8218|84699|8490|85397|8786|8787|90993|9248|94235|9586|9628
P00027	Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	http://identifiers.org/panther.pathway/P00027	118	118	panther		10125|10235|10287|10636|11250|1128|1129|1131|1132|1133|115727|1211|1212|1213|131890|134|135|136|140|156|157|1812|1813|1815|1816|23236|25780|26086|26575|2767|2769|2775|2776|2782|2783|2784|2785|2786|2787|2788|2790|2792|2793|2798|2868|2869|2870|2911|2912|2913|2914|2915|2916|2917|2918|29899|3708|3709|3710|3760|3762|3763|3765|387|4985|4986|4987|4988|51277|51764|5330|5331|5332|54331|5578|5579|5580|5581|5582|5583|5584|5588|5590|55970|5906|5908|5909|59345|5996|5997|5998|5999|6000|6001|6002|6003|6004|623|624|64407|6751|6752|6753|6754|6755|773|774|777|8218|84253|8490|85397|8786|8787|9138|94235|9628|9630	10125|10235|10287|10636|11250|1128|1129|1131|1132|1133|115727|1211|1212|1213|131890|134|135|136|140|156|157|1812|1813|1815|1816|23236|25780|26086|26575|2767|2769|2775|2776|2782|2783|2784|2785|2786|2787|2788|2790|2792|2793|2798|2868|2869|2870|2911|2912|2913|2914|2915|2916|2917|2918|29899|3708|3709|3710|3760|3762|3763|3765|387|4985|4986|4987|4988|51277|51764|5330|5331|5332|54331|5578|5579|5580|5581|5582|5583|5584|5588|5590|55970|5906|5908|5909|59345|5996|5997|5998|5999|6000|6001|6002|6003|6004|623|624|64407|6751|6752|6753|6754|6755|773|774|777|8218|84253|8490|85397|8786|8787|9138|94235|9628|9630
P00028	Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	http://identifiers.org/panther.pathway/P00028	33	33	panther		10681|1258|1259|1261|2779|2782|2783|2785|2786|2787|2788|2790|2792|2793|5132|5145|5148|5158|51764|54331|54714|5566|5567|5568|55970|59345|5957|6010|6011|801|810|8787|94235	10681|1258|1259|1261|2779|2782|2783|2785|2786|2787|2788|2790|2792|2793|5132|5145|5148|5158|51764|54331|54714|5566|5567|5568|55970|59345|5957|6010|6011|801|810|8787|94235
P00029	Huntington disease	http://identifiers.org/panther.pathway/P00029	118	118	panther		10000|10092|10095|10097|10123|10124|10126|10133|10381|10382|10383|10552|10753|11131|11132|116443|1212|1387|140735|147968|1537|160|161|1639|1742|1767|1769|1778|1780|1781|1783|203068|2033|207|208|23191|23433|23473|2353|23647|25816|2597|26330|26999|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|29993|3064|3092|317|345651|347688|347733|3725|375|377|378|379|381|382|391|400|4218|4294|51143|55081|55567|5601|5609|56171|57381|58|5879|5880|59|60|627|6416|64446|6457|6667|6874|6908|70|71|7157|7161|72|726|7280|79659|81027|81873|823|824|825|826|827|836|841|84290|84617|8626|8655|8867|8976|8997|9001|9026|998	10000|10092|10095|10097|10123|10124|10126|10133|10381|10382|10383|10552|10753|11131|11132|116443|1212|1387|140735|147968|1537|160|161|1639|1742|1767|1769|1778|1780|1781|1783|203068|2033|207|208|23191|23433|23473|2353|23647|25816|2597|26330|26999|2897|2898|2899|2900|2901|2902|2903|2904|2905|2906|29993|3064|3092|317|345651|347688|347733|3725|375|377|378|379|381|382|391|400|4218|4294|51143|55081|55567|5601|5609|56171|57381|58|5879|5880|59|60|627|6416|64446|6457|6667|6874|6908|70|71|7157|7161|72|726|7280|79659|81027|81873|823|824|825|826|827|836|841|84290|84617|8626|8655|8867|8976|8997|9001|9026|998
P00030	Hypoxia response via HIF activation	http://identifiers.org/panther.pathway/P00030	19	19	panther		10000|112398|112399|1387|207|208|2475|25828|2861|3091|405|5071|54583|5728|6097|7179|7295|7428|9283	10000|112398|112399|1387|207|208|2475|25828|2861|3091|405|5071|54583|5728|6097|7179|7295|7428|9283
P00031	Inflammation mediated by chemokine and cytokine signaling pathway	http://identifiers.org/panther.pathway/P00031	197	197	panther		10000|10092|10093|10094|10095|10109|10298|10344|10552|10663|10725|10750|108|10803|10850|111|112|1147|122809|1230|1232|1233|1234|1235|1236|1237|1291|1292|1293|1303|140469|1524|207|208|2185|23236|2357|2359|239|241|246|2767|2769|2770|2771|2773|2775|2776|2784|2785|2786|2787|2788|2790|2826|2829|2833|2870|30837|3454|345651|3458|3551|3576|3577|3579|3627|3636|3683|3688|369|3695|3708|3709|3710|3717|3725|3726|3727|3845|387|388372|389|391|414062|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4638|4772|4773|4775|4776|4791|4893|5058|5062|5063|51196|5170|5196|5197|5290|5291|5293|5294|5321|5330|5331|5332|5333|5334|5335|5336|53904|54331|5566|5567|5568|5579|5581|5590|5594|5595|55970|5613|56413|56924|5728|5742|5743|57580|57642|57644|58|5879|5880|5894|59|5970|5971|5999|60|6003|6093|6237|6347|6348|6349|6351|6352|6354|6355|6356|6357|6362|6364|6366|6367|6376|643|6464|6654|6774|70|71|72|728|729230|7373|7409|7450|7852|79784|815|817|81873|84812|85366|8573|8735|89869|9034|91807|9306|94235|9560|9630|9655|998	10000|10092|10093|10094|10095|10109|10298|10344|10552|10663|10725|10750|108|10803|10850|111|112|1147|122809|1230|1232|1233|1234|1235|1236|1237|1291|1292|1293|1303|140469|1524|207|208|2185|23236|2357|2359|239|241|246|2767|2769|2770|2771|2773|2775|2776|2784|2785|2786|2787|2788|2790|2826|2829|2833|2870|30837|3454|345651|3458|3551|3576|3577|3579|3627|3636|3683|3688|369|3695|3708|3709|3710|3717|3725|3726|3727|3845|387|388372|389|391|414062|4619|4620|4621|4622|4624|4625|4626|4627|4628|4629|4638|4772|4773|4775|4776|4791|4893|5058|5062|5063|51196|5170|5196|5197|5290|5291|5293|5294|5321|5330|5331|5332|5333|5334|5335|5336|53904|54331|5566|5567|5568|5579|5581|5590|5594|5595|55970|5613|56413|56924|5728|5742|5743|57580|57642|57644|58|5879|5880|5894|59|5970|5971|5999|60|6003|6093|6237|6347|6348|6349|6351|6352|6354|6355|6356|6357|6362|6364|6366|6367|6376|643|6464|6654|6774|70|71|72|728|729230|7373|7409|7450|7852|79784|815|817|81873|84812|85366|8573|8735|89869|9034|91807|9306|94235|9560|9630|9655|998
P00032	Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	http://identifiers.org/panther.pathway/P00032	29	29	panther		2002|2353|27330|3479|3480|3481|3482|3630|3643|3645|3667|5594|5595|5604|5605|5606|5894|5921|6195|6196|6197|6198|6199|6654|6655|8471|8660|8986|9252	2002|2353|27330|3479|3480|3481|3482|3630|3643|3645|3667|5594|5595|5604|5605|5606|5894|5921|6195|6196|6197|6198|6199|6654|6655|8471|8660|8986|9252
P00033	Insulin/IGF pathway-protein kinase B signaling cascade	http://identifiers.org/panther.pathway/P00033	23	23	panther		2308|2309|2931|2932|3479|3480|3481|3482|3630|3636|3643|3645|3667|4193|4194|5170|5290|5728|7179|7248|7249|8471|8660	2308|2309|2931|2932|3479|3480|3481|3482|3630|3636|3643|3645|3667|4193|4194|5170|5290|5728|7179|7248|7249|8471|8660
